"","high.watermark","end.period.aum","starting.period.aum","current_rate_of_return","current_pnl","gross_before_fees","management_fee","after_management_fee","new_watermark","performance_fee","net_of_everything"
"1",393.083639339284,390.670184393181,380,0.0344306298402204,13.0836393392837,393.083639339284,0.676448184421873,392.407191154862,TRUE,1.73700676168066,390.670184393181
"2",404.121204901633,401.639981510006,390.670184393181,0.0344306298402204,13.4510205084523,404.121204901633,0.695442465632963,403.425762436001,TRUE,1.7857809259947,401.639981510006
"3",415.46869904241,412.917804305758,401.639981510006,0.0344306298402204,13.828717532404,415.46869904241,0.714970095483364,414.753728946926,TRUE,1.83592464116888,412.917804305758
"4",427.134824380246,424.512301966731,412.917804305758,0.0344306298402204,14.2170200744881,427.134824380246,0.735046050100253,426.399778330145,TRUE,1.8874763634143,424.512301966731
"5",427.134824380246,426.281245446277,424.512301966731,0.00592218360023722,2.51403979280632,427.026341759537,0.745096313260485,426.281245446277,FALSE,0,426.281245446277
"6",428.805761247148,427.808876062489,426.281245446277,0.00592218360023722,2.52451580087064,428.805761247148,0.748201130856746,428.057560116291,TRUE,0.248684053801945,427.808876062489
"7",430.342438772342,429.341981128549,427.808876062489,0.00592218360023722,2.53356270985319,430.342438772342,0.750882400480477,429.591556371862,TRUE,0.24957524331218,429.341981128549
"8",431.884623168082,430.880580262814,429.341981128549,0.00592218360023722,2.54264203953285,431.884623168082,0.753573278759553,431.131049889323,TRUE,0.250469626508262,430.880580262814
"9",445.745262534846,443.004546070056,430.880580262814,0.0344983806486814,14.8646822720313,445.745262534846,0.767047612447953,444.978214922398,TRUE,1.97366885234167,443.004546070056
"10",458.287485529477,455.46965175138,443.004546070056,0.0344983806486814,15.2829394594211,458.287485529477,0.788630527649592,457.498855001828,TRUE,2.02920325044801,455.46965175138
"11",471.182617171421,468.285496180251,455.46965175138,0.0344983806486814,15.7129654200414,471.182617171421,0.810820735307451,470.371796436114,TRUE,2.08630025586276,468.285496180251
"12",484.440587479734,481.461948319852,468.285496180251,0.0344983806486814,16.1550912994829,484.440587479734,0.833635323202487,483.606952156531,TRUE,2.14500383667926,481.461948319852
"13",484.440587479734,482.80520746935,481.461948319852,0.00454393505455353,2.18773182440421,483.649680144256,0.844472674906095,482.80520746935,FALSE,0,482.80520746935
"14",484.440587479734,484.152214256951,482.80520746935,0.00454393505455353,2.19383550674097,484.999042976091,0.846828719139761,484.152214256951,FALSE,0,484.152214256951
"15",486.352170475053,485.313872055008,484.152214256951,0.00454393505455353,2.19995621810187,486.352170475053,0.849191336640504,485.502979138413,TRUE,0.189107083404591,485.313872055008
"16",487.5191067707,486.478317093937,485.313872055008,0.00454393505455353,2.20523471569186,487.5191067707,0.851228856472495,486.667877914228,TRUE,0.189560820290711,486.478317093937
